Wind AT 2013,Wind AT 2015,Wind AT 2016,Wind 2030 TU EEG Stromzukunft,WEB 2015 Umgebung Wien,Hochrechnung berschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020
877.2923,152.4875,49.9863,1.705308458,0,0,1536.335,154.479,2184,550
936.074,93.0695,61.62,1.981134985,0,0,1559.989,141.122,2347,478
1024.6548,59.9025,84.3115,2.143128337,0.049314,0,1474.077,138.123,2401,367
1039.0043,93.5965,111.3903,2.344525484,0.062169,0,1495.87,175.214,2297,442
996.5848,177.8615,144.077,2.289797997,0.013662,0,1545.769,160.529,1972,534
939.6038,189.3638,148.193,2.132182845,0.005442,0,1625.288,161.506,1177,622
819.5675,270.628,149.6913,2.007404178,0.066843,0,1596.562,157.705,891,563
700.7675,304.0705,156.1045,1.79287243,0.209667,0,1554.487,153.251,835,472
527.4668,458.9885,157.1943,1.788494229,0.745245,0,1414.857,150.39,642,393
336.1415,531.7915,220.1888,2.151884738,0.809421,0,1402.754,150.484,495,383
228.1933,627.319,284.426,2.769210771,0.825375,0,1521.732,108.641,417,290
168.5798,762.2643,296.6908,3.279270939,1.335819,0,1634.457,98.925,309,253
154.9058,755.4328,296.23,3.454398892,1.696149,0,1726.568,95.146,230,205
182.7865,766.8645,307.1235,4.027942948,1.696989,0,1672.577,99.415,129,140
179.182,781.749,369.5233,5.22975853,1.522746,0,1673.994,106.596,88,136
143.1585,759.9328,378.5018,6.170901919,1.185552,0,1668.727,102.136,77,112
185.1943,593.6773,425.0338,6.214853271,0.791778,0,1676.807,110.248,60,114
202.0808,442.6323,407.555,6.265202558,0.819795,0,1664.688,148.294,45,107
172.7853,369.7218,239.2338,5.921513952,0.813066,0,1396.755,272.253,45,173
128.903,329.4095,273.3978,5.466181271,0.487335,0,885.962,314.17,35,320
138.207,293.005,255.8898,5.347969896,0.388899,0,659.458,418.286,32,609
136.8898,282.5268,275.7985,3.104142985,0.614715,0,625.968,360.19,41,941
125.2813,210.0005,192.917,2.742941577,0.459996,0,579.539,366.43,46,1091
70.5285,183.6753,103.5383,2.383929279,0.27651,0,465.519,355.486,66,1196
44.4183,147.6408,69.7668,1.915461996,0.092052,0,311.297,340.173,123,946
41.0385,136.5238,54.8868,1.639635469,0.026916,0,352.231,332.772,153,756
39.6663,112.5693,72.3395,1.077036914,0.012687,0,357.752,286.314,176,651
21.4848,120.7005,79.223,0.779319394,0.073731,0,347.006,249.458,226,671
23.0215,140.2625,104.3085,0.831857781,0.063471,0,315.083,221.541,240,583
22.9648,165.7963,75.6878,0.873450667,0.077082,0,277.757,198.866,234,374
19.7653,174.9978,71.1523,0.788075795,0.11625,0,207.691,212.532,231,245
23.2038,191.1138,104.9743,0.582300448,0.140184,0,153.129,247.664,252,145
19.596,172.8443,152.5338,0.516627469,0.177579,0,121.742,277.061,266,53
17.6055,186.245,164.3778,0.645784327,0.158781,0,115.933,265.439,310,13
24.0493,188.1498,338.812,0.763995702,0.141384,0,126.086,236.625,416,12
25.9575,151.9053,407.5425,0.825290481,0.105447,0,151.208,279.619,376,28
29.6815,146.8128,282.0275,0.343688606,0.169218,0,190.858,251.762,537,112
32.5348,199.3425,302.0228,0.317419413,0.354219,0,206.752,234.9,680,267
37.6395,267.8065,422.7615,0.571354947,0.497295,0,230.832,214.189,521,225
58.503,333.772,406.7805,0.728970108,0.49932,0,322.859,196.593,545,140
