"Dach OW (320 kWp, 60%PV/Roof area)","Fassade SO/SW (209 kWp, 22% PV/ ref Area)",Dach+Fass,Var4,Var5
44.171,17.362,61.533,261.0666302,350.597987
39.622,15.635,55.257,249.3163911,326.6894384
29.616,11.421,41.037,191.319397,119.6484037
13.282,4.969,18.251,91.01061165,73.82064945
0.576,0.211,0.787,73.07373503,6.598351323
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.169,0.061,0.23,0,1.428246117
16.922,8.308,25.23,16.16249943,57.27922758
39.238,19.274,58.512,41.55758983,122.7016441
58.459,32.046,90.505,67.17493282,181.2415175
65.289,34.154,99.443,82.03670811,227.9947169
68.14,35.247,103.387,90.46044542,43.99872478
62.462,31.982,94.444,89.42205219,180.877169
50.064,28.008,78.072,71.68192376,182.4438676
29.291,19.815,49.106,45.00432664,81.15862823
1.474,0.546,2.02,9.520426288,2.222525846
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1.505,0.556,2.061,0.553809719,4.022407433
18.444,20.326,38.77,62.78817689,47.8535319
48.962,46.06,95.022,188.3863916,150.2500342
70.491,65.265,135.756,317.6718131,315.0667213
76.715,59.149,135.864,404.4669126,292.9689848
80.498,58.614,139.112,462.3764631,380.6858861
84.709,64.493,149.202,466.3405748,321.4865419
70.621,55.604,126.225,409.0394863,80.25140046
22.389,11.067,33.456,310.3156169,113.385253
0.579,0.213,0.792,163.1698319,2.248030241
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.173,0.063,0.236,0,0.670401239
17.73,9.494,27.224,55.12592795,41.20052831
44.647,31.671,76.318,154.778886,89.4694175
65.81,37.781,103.591,269.9130118,132.331375
78.452,47.142,125.594,350.2554994,152.1847247
73.496,38.705,112.201,377.0606185,155.6715398
69.097,35.894,104.991,368.3927677,138.0079246
51.202,27.275,78.477,313.1138134,103.0596165
32.328,21.437,53.765,224.5698411,55.42105023
2.513,0.931,3.444,124.4687343,4.077059708
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.591,0.217,0.808,0.561096689,3.162544974
16.62,7.404,24.024,80.34977456,52.62649724
38.159,17.139,55.298,232.0426288,141.3052785
52.961,24.708,77.669,383.728196,38.67194972
58.94,25.382,84.322,482.3172565,248.2524935
67.397,33.008,100.405,548.5849615,214.2041262
54.635,24.557,79.192,559.3368857,185.4533862
37.206,15.141,52.347,500.1812634,128.7899075
21.114,9.185,30.299,384.0633966,56.37199982
0.803,0.296,1.099,234.7424512,2.258960696
0,0,0,0.542879264,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2.009,0.745,2.754,0.557453204,1.450107027
26.645,19.287,45.932,61.19233046,10.6353327
65.785,60.512,126.297,168.4383112,78.27298811
83.473,78.267,161.74,272.8460172,71.48153209
78.192,48.986,127.178,336.8511181,88.29621533
83.108,50.852,133.96,363.8967072,34.21961106
48.764,20.261,69.025,354.3726374,159.8761215
28.353,10.653,39.006,314.6841554,138.7147607
17.582,6.588,24.17,218.4050644,177.0988751
0.812,0.299,1.111,104.5352279,16.49041308
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.374,0.138,0.512,0.557453204,1.442820057
15.584,5.834,21.418,72.62558637,21.56578768
36.691,16.021,52.712,201.386346,47.98469736
